subject,group,idnews,theme,veracity,eval,eval_RT,judgment,success,rec,rec_RT,WTP,WTP_RT,ambiguity,split,desirability,SOS_Mediterranee,FEMEN,Generation_Identitaire,La_Manif_Pour_Tous,Greenpeace,WWF,NIPCC,Climato_realistes,Mouvement_Europeen_France,Fondation_Robert_Schuman,Frexit,Parti_Libertarien,age,sex,education,EC,prcnt_politique,prcnt_journaliste,prcnt_medecin,prcnt_acteurjustsoc,prcnt_chercheur,prcnt_acteurecologie,prcnt_general,year,Brier,consensuality,order
2,2,50,3,0,100,6068,1,0,0,1460,1,1470,3.8,4.3,7.1,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,5.7,46
2,2,64,3,0,70,18627,1,0,0,1735,1,1331,5.6,6.6,7.8,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3.4,34
2,2,70,3,1,75,23800,1,1,0,3038,1,1247,3,4.18181818181818,5.18181818181818,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,5.81818181818182,8
2,2,74,3,0,90,15930,0,1,1,6531,5,4372,5.09090909090909,7.81818181818182,7,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,2.18181818181818,33
2,2,76,3,1,40,15954,1,1,1,3905,5,2395,4.63636363636364,5.72727272727273,5.27272727272727,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,4.27272727272727,19
2,2,80,3,0,80,20937,0,1,1,3827,5,1910,4.9,6,6.4,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,4,5
2,2,85,3,1,30,21849,1,1,1,2706,5,2522,5.18181818181818,5.90909090909091,6.63636363636364,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,4.09090909090909,15
2,2,87,3,1,10,25646,1,1,1,2701,10,2982,3.72727272727273,6.54545454545455,6,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3.45454545454545,40
2,2,90,3,1,40,26752,1,1,1,1565,10,1717,6,7.2,8.1,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,2.8,20
2,2,93,3,0,30,29153,1,0,1,979,5,2191,8,7.72727272727273,8,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,2.27272727272727,41
2,2,97,3,0,25,33745,1,0,1,1210,10,1948,4.72727272727273,7.45454545454545,6.63636363636364,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,2.54545454545455,23
2,2,103,3,0,70,32194,1,0,0,1835,1,5490,4.09090909090909,7.63636363636364,6.45454545454545,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,2.36363636363636,3
2,2,104,2,0,90,17871,1,0,0,1552,1,1292,6.09090909090909,7.18181818181818,5.54545454545455,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,2.81818181818182,21
2,2,109,3,1,40,19731,1,1,0,3736,1,1531,3.7,4.9,6.5,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,5.1,4
2,2,113,3,1,50,52671,1,1,0,569,1,2314,6.54545454545455,6.81818181818182,5.81818181818182,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3.18181818181818,43
2,2,116,3,1,75,24970,1,1,0,3378,1,1204,6,7.6,8,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,2.4,22
2,2,119,2,1,100,19356,0,0,0,4253,1,2048,5.3,9.1,8.5,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,0.9,2
2,2,122,2,1,50,22343,1,1,0,1919,1,1135,5.9,4.9,3.9,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,5.1,35
2,2,124,2,1,65,13351,1,1,0,3514,1,1965,4.90909090909091,6.90909090909091,5.63636363636364,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,3.09090909090909,14
2,2,127,2,1,60,29607,1,1,0,1124,1,2718,4.6,8.1,4.8,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,1.9,26
2,2,128,2,0,30,28442,0,1,0,1706,1,1812,6.4,5.7,6.2,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,4.3,9
2,2,130,2,0,40,23115,0,1,0,946,1,7844,5.90909090909091,5.72727272727273,2.45454545454545,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,4.27272727272727,27
2,2,139,2,0,25,22575,0,1,1,4932,5,3129,6.18181818181818,7.81818181818182,6.27272727272727,69,62,62,67,76,88,19,45,50,50,36,33,23,1,3,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.2025,2.18181818181818,30
