subject,group,idnews,theme,veracity,eval,eval_RT,judgment,success,rec,rec_RT,WTP,WTP_RT,ambiguity,split,desirability,SOS_Méditerranée,FEMEN,Génération_Identitaire,La_Manif_Pour_Tous,Greenpeace,WWF,NIPCC,Climato_réalistes,Mouvement_Européen_France,Fondation_Robert_Schuman,Frexit,Parti_Libertarien,age,sex,education
3,2,206,3,1,-96,15156,0,0,2,1064,23,13296,6.36363636363636,7.45454545454545,7.90909090909091,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,3,3,0,20,93502,1,0,1,3312,20,6280,8,7.72727272727273,8,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,194,3,1,-30,182173,0,0,1,2502,11,6263,6.18181818181818,5.27272727272727,6.90909090909091,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,191,3,0,-77,25126,0,1,2,1983,8,8745,6.6,9.2,7.7,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,64,3,1,-40,36379,0,0,2,6336,11,5408,5.63636363636364,6.72727272727273,6.54545454545455,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,23,3,1,15,79214,1,1,1,1495,17,6864,6.4,5.6,5.9,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,90,3,1,-20,33064,0,0,1,1742,3,16681,3.54545454545455,3.45454545454545,7.27272727272727,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,124,3,0,-85,28472,0,1,2,1040,22,3792,5.6,8.9,8.2,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,85,3,0,22,36222,1,0,2,2190,10,16336,6.27272727272727,6.18181818181818,6.18181818181818,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,39,3,0,65,26747,1,0,1,1455,19,5968,5.90909090909091,5.72727272727273,2.45454545454545,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,139,2,0,-40,262842,0,1,1,1158,18,3649,5.6,6.6,7.8,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,127,3,1,-57,32859,0,0,2,11744,13,4067,5.2,6.4,5.9,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,205,3,1,-97,13566,0,0,2,1582,24,3801,7.5,8,7.4,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,76,3,1,80,26504,1,1,2,2373,22,3668,3.45454545454545,5.36363636363636,7.09090909090909,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
